Periodos,pea_total,pea_ocup,pea_desocup
2005/01,43099847,41441076,1658771
2005/02,43180433,41676868,1503565
2005/03,44000204,42334898,1665306
2005/04,44245519,42863703,1381816
2006/01,44306012,42740936,1565076
2006/02,44611672,43212434,1399238
2006/03,45431392,43617867,1813525
2006/04,45580994,43942607,1638387
2007/01,45314888,43526125,1788763
2007/02,45569395,44050928,1518467
2007/03,45864926,44101860,1763066
2007/04,46868952,45246080,1622872
2008/01,46453196,44651965,1801231
2008/02,46905921,45293616,1612305
2008/03,46964082,45029841,1934241
2008/04,46753657,44798686,1954971
2009/01,46977904,44627384,2350520
2009/02,47453163,45027104,2426059
2009/03,48738589,45743215,2995374
2009/04,48903792,46343704,2560088
2010/01,48069274,45524339,2544935
2010/02,49133132,46597624,2535508
2010/03,49190032,46452588,2737444
2010/04,48478718,45911934,2566784
2011/01,48505168,46005815,2499353
2011/02,49482112,46891586,2590526
2011/03,50127032,47350681,2776351
2011/04,50772496,48307467,2465029
2012/01,50192842,47726265,2466577
2012/02,51477178,49003380,2473798
2012/03,51927050,49275020,2652030
2012/04,51317999,48822271,2495728
2013/01,50847242,48358255,2488987
2013/02,51895865,49296229,2599636
2013/03,52034353,49309167,2725186
2013/04,52370886,49945599,2425287
2014/01,51559018,49080947,2478071
2014/02,51836752,49301557,2535195
2014/03,52192043,49455344,2736699
2014/04,52108400,49823798,2284602
2015/01,52007842,49806064,2201778
2015/02,52623721,50336088,2287633
2015/03,53179919,50734656,2445263
2015/04,53809017,51568519,2240498
2016/01,52918649,50778629,2140020
2016/02,53539565,51433590,2105975
2016/03,54226803,52043100,2183703
2016/04,54034800,52123674,1911126
2017/01,53681720,51859895,1821825
2017/02,54068791,52198611,1870180
2017/03,54369915,52438646,1931269
2017/04,54696638,52865845,1830793
2018/01,54590773,52876916,1713857
2018/02,55643417,53785257,1858160
2018/03,55962275,54027997,1934278
2018/04,56023199,54194608,1828591
2019/01,56038471,54152266,1886205
2019/02,56951215,54936719,2014496
2019/03,57349577,55201939,2147638
2019/04,57625521,55683450,1942071
2020/01,57328364,55352304,1976060
